ID,SOLVER,FASE,RUN,TIEMPO,Z,STATUS,SUMMARY,NOTES
fase1_gurobi_run1,gurobi,fase1,1,0.0085220337,8311.0400000000,2,,
fase1_gurobi_run2,gurobi,fase1,2,0.0069010258,8311.0400000000,2,,
fase1_gurobi_run3,gurobi,fase1,3,0.0067019463,8311.0400000000,2,,
fase1_gurobi_run4,gurobi,fase1,4,0.0061049461,8311.0400000000,2,,
fase1_gurobi_run5,gurobi,fase1,5,0.0060868263,8311.0400000000,2,,
fase1_gurobi_run6,gurobi,fase1,6,0.0063149929,8311.0400000000,2,,
fase1_gurobi_run7,gurobi,fase1,7,0.0064358711,8311.0400000000,2,,
fase1_gurobi_run8,gurobi,fase1,8,0.0070309639,8311.0400000000,2,,
fase1_gurobi_run9,gurobi,fase1,9,0.0060598850,8311.0400000000,2,,
fase1_gurobi_run10,gurobi,fase1,10,0.0061709881,8311.0400000000,2,,
fase1_gurobi_run11,gurobi,fase1,11,0.0061438084,8311.0400000000,2,,
fase1_gurobi_run12,gurobi,fase1,12,0.0061380863,8311.0400000000,2,,
fase1_gurobi_run13,gurobi,fase1,13,0.0060839653,8311.0400000000,2,,
fase1_gurobi_run14,gurobi,fase1,14,0.0060670376,8311.0400000000,2,,
fase1_gurobi_run15,gurobi,fase1,15,0.0060670376,8311.0400000000,2,,
fase1_gurobi_run16,gurobi,fase1,16,0.0066959858,8311.0400000000,2,,
fase1_gurobi_run17,gurobi,fase1,17,0.0063378811,8311.0400000000,2,,
fase1_gurobi_run18,gurobi,fase1,18,0.0062088966,8311.0400000000,2,,
fase1_gurobi_run19,gurobi,fase1,19,0.0061979294,8311.0400000000,2,,
fase1_gurobi_run20,gurobi,fase1,20,0.0059750080,8311.0400000000,2,,
fase1_gurobi_run21,gurobi,fase1,21,0.0066919327,8311.0400000000,2,,
fase1_gurobi_run22,gurobi,fase1,22,0.0062730312,8311.0400000000,2,,
fase1_gurobi_run23,gurobi,fase1,23,0.0064299107,8311.0400000000,2,,
fase1_gurobi_run24,gurobi,fase1,24,0.0062038898,8311.0400000000,2,,
fase1_gurobi_run25,gurobi,fase1,25,0.0062410831,8311.0400000000,2,,
fase1_gurobi_run26,gurobi,fase1,26,0.0065219402,8311.0400000000,2,,
fase1_gurobi_run27,gurobi,fase1,27,0.0064089298,8311.0400000000,2,,
fase1_gurobi_run28,gurobi,fase1,28,0.0060830116,8311.0400000000,2,,
fase1_gurobi_run29,gurobi,fase1,29,0.0061550140,8311.0400000000,2,,
fase1_gurobi_run30,gurobi,fase1,30,0.0061588287,8311.0400000000,2,,
fase1_gurobi_run31,gurobi,fase1,31,0.0062980652,8311.0400000000,2,,
fase1_gurobi_run32,gurobi,fase1,32,0.0067379475,8311.0400000000,2,,
fase1_gurobi_run33,gurobi,fase1,33,0.0060050488,8311.0400000000,2,,
fase1_gurobi_run34,gurobi,fase1,34,0.0062658787,8311.0400000000,2,,
fase1_gurobi_run35,gurobi,fase1,35,0.0065970421,8311.0400000000,2,,
fase1_gurobi_run36,gurobi,fase1,36,0.0062718391,8311.0400000000,2,,
fase1_gurobi_run37,gurobi,fase1,37,0.0059261322,8311.0400000000,2,,
fase1_gurobi_run38,gurobi,fase1,38,0.0065557957,8311.0400000000,2,,
fase1_gurobi_run39,gurobi,fase1,39,0.0065629482,8311.0400000000,2,,
fase1_gurobi_run40,gurobi,fase1,40,0.0064020157,8311.0400000000,2,,
fase1_gurobi_run41,gurobi,fase1,41,0.0060520172,8311.0400000000,2,,
fase1_gurobi_run42,gurobi,fase1,42,0.0060939789,8311.0400000000,2,,
fase1_gurobi_run43,gurobi,fase1,43,0.0063531399,8311.0400000000,2,,
fase1_gurobi_run44,gurobi,fase1,44,0.0066339970,8311.0400000000,2,,
fase1_gurobi_run45,gurobi,fase1,45,0.0063419342,8311.0400000000,2,,
fase1_gurobi_run46,gurobi,fase1,46,0.0062069893,8311.0400000000,2,,
fase1_gurobi_run47,gurobi,fase1,47,0.0060322285,8311.0400000000,2,,
fase1_gurobi_run48,gurobi,fase1,48,0.0062439442,8311.0400000000,2,,
fase1_gurobi_run49,gurobi,fase1,49,0.0067238808,8311.0400000000,2,,
fase1_gurobi_run50,gurobi,fase1,50,0.0063509941,8311.0400000000,2,,
fase1_scip_run1,scip,fase1,1,0.0320000000,8311.0400000000,0,,Solucion base para fase 2
fase1_scip_run2,scip,fase1,2,0.0260000000,8311.0400000000,0,,
fase1_scip_run3,scip,fase1,3,0.0260000000,8311.0400000000,0,,
fase1_scip_run4,scip,fase1,4,0.0250000000,8311.0400000000,0,,
fase1_scip_run5,scip,fase1,5,0.0260000000,8311.0400000000,0,,
fase1_scip_run6,scip,fase1,6,0.0260000000,8311.0400000000,0,,
fase1_scip_run7,scip,fase1,7,0.0260000000,8311.0400000000,0,,
fase1_scip_run8,scip,fase1,8,0.0280000000,8311.0400000000,0,,
fase1_scip_run9,scip,fase1,9,0.0260000000,8311.0400000000,0,,
fase1_scip_run10,scip,fase1,10,0.0250000000,8311.0400000000,0,,
fase1_scip_run11,scip,fase1,11,0.0540000000,8311.0400000000,0,,
fase1_scip_run12,scip,fase1,12,0.0260000000,8311.0400000000,0,,
fase1_scip_run13,scip,fase1,13,0.0260000000,8311.0400000000,0,,
fase1_scip_run14,scip,fase1,14,0.0250000000,8311.0400000000,0,,
fase1_scip_run15,scip,fase1,15,0.0250000000,8311.0400000000,0,,
fase1_scip_run16,scip,fase1,16,0.0240000000,8311.0400000000,0,,
fase1_scip_run17,scip,fase1,17,0.0250000000,8311.0400000000,0,,
fase1_scip_run18,scip,fase1,18,0.0260000000,8311.0400000000,0,,
fase1_scip_run19,scip,fase1,19,0.0240000000,8311.0400000000,0,,
fase1_scip_run20,scip,fase1,20,0.0260000000,8311.0400000000,0,,
fase1_scip_run21,scip,fase1,21,0.0240000000,8311.0400000000,0,,
fase1_scip_run22,scip,fase1,22,0.0280000000,8311.0400000000,0,,
fase1_scip_run23,scip,fase1,23,0.0240000000,8311.0400000000,0,,
fase1_scip_run24,scip,fase1,24,0.0270000000,8311.0400000000,0,,
fase1_scip_run25,scip,fase1,25,0.0250000000,8311.0400000000,0,,
fase1_scip_run26,scip,fase1,26,0.0260000000,8311.0400000000,0,,
fase1_scip_run27,scip,fase1,27,0.0280000000,8311.0400000000,0,,
fase1_scip_run28,scip,fase1,28,0.0270000000,8311.0400000000,0,,
fase1_scip_run29,scip,fase1,29,0.0260000000,8311.0400000000,0,,
fase1_scip_run30,scip,fase1,30,0.0270000000,8311.0400000000,0,,
fase1_scip_run31,scip,fase1,31,0.0270000000,8311.0400000000,0,,
fase1_scip_run32,scip,fase1,32,0.0270000000,8311.0400000000,0,,
fase1_scip_run33,scip,fase1,33,0.0260000000,8311.0400000000,0,,
fase1_scip_run34,scip,fase1,34,0.0260000000,8311.0400000000,0,,
fase1_scip_run35,scip,fase1,35,0.0260000000,8311.0400000000,0,,
fase1_scip_run36,scip,fase1,36,0.0270000000,8311.0400000000,0,,
fase1_scip_run37,scip,fase1,37,0.0250000000,8311.0400000000,0,,
fase1_scip_run38,scip,fase1,38,0.0250000000,8311.0400000000,0,,
fase1_scip_run39,scip,fase1,39,0.0270000000,8311.0400000000,0,,
fase1_scip_run40,scip,fase1,40,0.0240000000,8311.0400000000,0,,
